136,151.62
289,188.29
303,15.63
121,10.69
18,90.06
61,27.45
230,40.88
213,93.99
173,199.15
283,78.86
39,33.52
198,64.24
63,45.72
276,177.85
37,134.09
24,55.1
307,158.04
114,59.88
178,61.38
232,16.33
306,175.55
62,23.52
19,118.57
7,64.06
302,95.98
327,110.38
291,91.41
140,38.36
166,45.62
321,94.79
59,78.62
133,65.86
12,121.33
201,45.86
298,35.07
238,122.8
88,67.76
31,194.6
347,109.18
202,29.56
69,123.86
233,192.95
180,112.6
179,66.21
163,161.12
126,90.05
134,89.29
155,26.76
33,154.27
28,72.75
35,148.25
45,129.99
99,156.4
95,149.54
109,87.63
106,140.72
256,45.32
227,26.6
123,184.34
85,72.26
334,133.43
162,88.67
217,101.22
98,172.3
266,110.71
214,49.95
325,80.03
138,156.78
113,157.69
294,141.8
111,148.86
15,23.35
125,36.44
343,101.79
235,193.73
87,93.45
225,130.05
317,55.9
182,22.61
300,142.75
301,27.0
195,31.95
77,52.24
82,141.34
165,165.09
218,150.13
312,45.84
174,145.75
186,110.21
131,52.99
204,111.93
226,28.67
190,21.33
171,113.32
129,73.79
183,123.56
49,137.14
16,13.27
73,88.88
322,188.99
81,173.96
240,105.25
76,109.92
199,193.91
157,132.1
206,115.82
211,26.07
318,152.16
247,154.21
245,50.56
231,173.39
284,47.46
263,182.81
193,89.72
209,110.7
147,40.46
51,179.93
330,108.18
130,64.67
241,51.67
52,84.85
246,49.12
78,87.06
297,114.62
55,38.16
110,75.56
200,96.87
342,145.73
265,76.72
357,55.08
267,172.51
11,138.88
23,101.54
234,36.54
336,151.49
137,94.9
319,119.62
0,118.31
139,79.75
40,14.1
142,63.92
274,172.65
22,172.54
47,70.08
282,35.32
187,188.55
296,128.46
191,28.25
242,17.55
17,41.55
93,67.49
66,186.47
281,117.45
56,196.17
224,165.51
208,148.51
270,108.25
79,89.97
68,77.98
5,138.6
308,98.16
83,195.75
290,128.66
260,133.11
54,173.19
89,28.81
145,111.94
6,85.68
352,102.44
205,64.93
292,108.03
228,53.79
189,148.2
58,132.09
287,121.97
84,69.97
219,139.76
358,50.4
53,76.0
323,78.59
74,43.98
112,177.02
254,144.88
67,11.43
244,183.79
335,87.93
75,158.67
197,57.05
203,166.65
326,103.07
42,102.18
158,33.87
216,69.81
127,50.23
172,161.41
259,112.8
161,153.71
152,41.3
272,137.71
239,24.75
60,187.03
118,120.2
316,13.07
30,28.54
26,160.45
156,182.75
341,130.41
144,108.63
299,141.21
43,105.65
8,28.03
344,181.87
328,17.27
151,194.45
188,168.31
38,91.76
104,58.63
120,85.04
351,127.69
20,102.34
252,197.09
196,149.83
177,103.12
167,61.7
32,72.99
185,61.14
65,48.55
135,131.19
315,158.2
90,189.91
29,78.78
275,108.5
320,81.17
261,56.0
2,78.88
220,134.52
116,106.53
280,131.33
46,195.6
221,39.35
359,197.48
94,153.35
41,170.53
346,156.08
184,121.29
21,161.52
1,189.19
57,59.07
96,117.19
251,91.73
339,30.75
215,161.46
119,73.98
117,79.01
105,136.7
102,48.88
48,149.68
86,24.73
92,49.24
309,31.67
262,80.02
354,118.54
146,182.51
278,126.02
285,170.85
122,69.85
324,13.18
348,111.56
107,130.23
258,136.15
150,190.28
293,26.53
176,123.38
103,35.05
305,57.59
3,25.21
222,167.77
212,170.32
223,26.19
333,139.95
27,191.94
273,113.9
340,67.44
345,78.27
70,50.28
25,81.25
124,156.12
160,132.07
34,157.13
255,163.01
253,68.17
329,11.71
353,148.73
4,139.77
91,152.95
311,190.39
168,84.05
194,26.89
249,125.85
71,182.45
229,32.12
143,106.9
154,174.43
164,145.61
149,198.17
350,179.59
72,186.14
181,90.93
349,146.42
192,37.04
80,138.41
288,123.71
237,189.84
44,174.9
128,180.54
169,63.99
159,121.05
295,59.96
356,10.49
279,181.49
97,41.16
141,185.89
310,20.35
210,140.69
153,87.06
64,148.64
331,58.03
50,28.2
313,164.62
36,160.73
175,25.27
170,94.52
108,108.86
236,66.2
148,150.41
286,121.57
101,196.79
250,30.94
268,48.51
338,104.24
304,176.29
314,152.91
207,137.29
264,100.09
10,88.52
14,124.52
9,40.65
243,60.85
13,23.07
269,176.68
115,83.76
257,118.52
277,176.28
332,70.67
248,80.33
271,128.5
355,26.66
337,66.9
132,47.31
100,17.34
